group,layer,opponent,n_inputs,mean_logp_margin
F06,30,C1,16,8.7734375
F06,31,C1,16,6.515625029802322
F06,32,C1,16,3.1015625074505806
F07,0,C1,16,0.0
F07,1,C1,16,-0.0732421875
F07,2,C1,16,-0.10400390625
F07,3,C1,16,-0.115966796875
F07,4,C1,16,-0.2510986328125
F07,5,C1,16,-0.104736328125
F07,6,C1,16,0.4161376953125
F07,7,C1,16,-0.3168942928314209
F07,8,C1,16,-0.25732421875
F07,9,C1,16,-0.41015625
F07,10,C1,16,0.19052112102508545
F07,11,C1,16,0.858612060546875
F07,12,C1,16,1.10693359375
F07,13,C1,16,0.43896484375
F07,14,C1,16,0.47821044921875
F07,15,C1,16,0.13085949420928955
F07,16,C1,16,-0.5341792106628418
F07,17,C1,16,1.4590453505516052
F07,18,C1,16,0.0478515625
F07,19,C1,16,0.4091796875
F07,20,C1,16,1.28515625
F07,21,C1,16,0.6992188096046448
F07,22,C1,16,0.8046875
F07,23,C1,16,3.4140625298023224
F07,24,C1,16,8.41406249627471
F07,25,C1,16,11.33203125
F07,26,C1,16,10.58203125
F07,27,C1,16,11.70703124627471
F07,28,C1,16,10.51953125
F07,29,C1,16,9.34375
F07,30,C1,16,5.070312485098839
F07,31,C1,16,5.015625
F07,32,C1,16,2.8203125
F08,0,C1,16,0.0
F08,1,C1,16,0.0908203125
F08,2,C1,16,0.09619140625
F08,3,C1,16,-0.091796875
F08,4,C1,16,-0.082275390625
F08,5,C1,16,0.5295867919921875
F08,6,C1,16,0.4523935317993164
F08,7,C1,16,0.6401369571685791
F08,8,C1,16,1.103271484375
F08,9,C1,16,0.7879638671875
F08,10,C1,16,0.0507810115814209
F08,11,C1,16,-0.08351123332977295
F08,12,C1,16,-0.2940330505371094
F08,13,C1,16,-0.8281246423721313
F08,14,C1,16,-0.44355785846710205
F08,15,C1,16,0.4921417236328125
F08,16,C1,16,0.34863269329071045
F08,17,C1,16,1.9960935711860657
F08,18,C1,16,1.5993651747703552
F08,19,C1,16,1.4218748807907104
F08,20,C1,16,1.16796875
F08,21,C1,16,1.055908203125
F08,22,C1,16,1.043670654296875
F08,23,C1,16,1.4189452528953552
F08,24,C1,16,3.2695311903953552
F08,25,C1,16,9.98828125745058
F08,26,C1,16,10.234375
F08,27,C1,16,10.04687500372529
F08,28,C1,16,9.921875
F08,29,C1,16,8.03125
F08,30,C1,16,5.765625
F08,31,C1,16,3.578125
F08,32,C1,16,1.7656250037252903
F09,0,C1,16,0.0
F09,1,C1,16,-0.04736328125
F09,2,C1,16,-0.1854248046875
F09,3,C1,16,-0.126220703125
F09,4,C1,16,-0.222900390625
F09,5,C1,16,-0.29248046875
F09,6,C1,16,0.041015625
F09,7,C1,16,-0.46191370487213135
F09,8,C1,16,-0.05297839641571045
F09,9,C1,16,-0.1445310115814209
F09,10,C1,16,-0.1665043830871582
F09,11,C1,16,-0.13720738887786865
F09,12,C1,16,0.0380859375
F09,13,C1,16,0.3535158634185791
F09,14,C1,16,-0.21984851360321045
F09,15,C1,16,0.2588481903076172
F09,16,C1,16,0.5797502994537354
F09,17,C1,16,3.6960904598236084
F09,18,C1,16,2.7126464247703552
F09,19,C1,16,1.6215817332267761
F09,20,C1,16,2.379883110523224
F09,21,C1,16,2.1630860567092896
F09,22,C1,16,3.0616455674171448
F09,23,C1,16,5.679687410593033
F09,24,C1,16,7.035156317055225
F09,25,C1,16,8.11328125
F09,26,C1,16,7.5234375
F09,27,C1,16,7.69140625
F09,28,C1,16,7.515625
F09,29,C1,16,7.1875001192092896
F09,30,C1,16,5.43749999627471
F09,31,C1,16,4.296875
F09,32,C1,16,2.3046875037252903
F10,0,C1,16,0.0
F10,1,C1,16,0.031402587890625
F10,2,C1,16,-0.1607646942138672
F10,3,C1,16,0.0978851318359375
F10,4,C1,16,0.0928955078125
F10,5,C1,16,0.3343505859375
F10,6,C1,16,0.554443359375
F10,7,C1,16,-0.17089831829071045
F10,8,C1,16,0.0224609375
F10,9,C1,16,0.1575775146484375
F10,10,C1,16,0.7784421443939209
F10,11,C1,16,0.0386962890625
F10,12,C1,16,0.763214111328125
F10,13,C1,16,0.6557154655456543
F10,14,C1,16,0.224853515625
F10,15,C1,16,0.3338623046875
F10,16,C1,16,0.31652820110321045
F10,17,C1,16,1.0321044921875
F10,18,C1,16,0.8754273056983948
F10,19,C1,16,1.1132811903953552
F10,20,C1,16,1.0234375
F10,21,C1,16,0.37890625
F10,22,C1,16,0.8066407442092896
F10,23,C1,16,1.4277345538139343
F10,24,C1,16,2.0781250298023224
F10,25,C1,16,3.5039063096046448
F10,26,C1,16,5.310546875
F10,27,C1,16,4.980468757450581
F10,28,C1,16,5.041015625
F10,29,C1,16,5.890625
F10,30,C1,16,4.375000014901161
F10,31,C1,16,4.773437507450581
F10,32,C1,16,1.7578124962747097
F11,0,C1,16,0.0
F11,1,C1,16,0.08935546875
F11,2,C1,16,0.32370758056640625
F11,3,C1,16,-0.12353515625
F11,4,C1,16,0.012939453125
F11,5,C1,16,-0.011293411254882812
F11,6,C1,16,0.1044921875
F11,7,C1,16,0.05151355266571045
F11,8,C1,16,0.3037109375
F11,9,C1,16,-0.31707763671875
F11,10,C1,16,-0.0026856660842895508
F11,11,C1,16,-0.158935546875
F11,12,C1,16,1.109130859375
F11,13,C1,16,0.08105480670928955
F11,14,C1,16,1.438964605331421
F11,15,C1,16,1.9880372285842896
F11,16,C1,16,2.3330078125
F11,17,C1,16,1.09991455078125
F11,18,C1,16,1.103019654750824
F11,19,C1,16,1.2094725966453552
