family,group,left,right,anchor,layer,cosine_distance,rms_normalized_l2
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,23,0.0005944709247032165,0.037190127345548725
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,24,0.0005830537036786154,0.03602046719933404
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,25,0.0006145165818980391,0.03591703443527448
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,26,0.0006657126363508459,0.037086090991854524
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,27,0.0007149430450343885,0.03826797956897953
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,28,0.0007364173825646914,0.0389135010289982
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,29,0.0007298500129352403,0.03835052133687406
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,30,0.0007448916606063172,0.03915106148684344
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,31,0.0007163596165109531,0.03788933056964216
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,NATIVE_PROMPT_END,32,0.0004867740600508208,0.0315293870055287
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,0,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,1,-2.220446049250313e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,2,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,3,-2.220446049250313e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,4,-2.220446049250313e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,5,-2.220446049250313e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,6,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,7,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,8,2.220446049250313e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,9,1.1102230246251565e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,10,1.1102230246251565e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,11,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,12,-2.220446049250313e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,13,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,14,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,15,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,16,1.1102230246251565e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,17,-2.220446049250313e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,18,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,19,-2.220446049250313e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,20,2.220446049250313e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,21,1.1102230246251565e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,22,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,23,2.220446049250313e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,24,1.1102230246251565e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,25,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,26,-2.220446049250313e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,27,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,28,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,29,1.1102230246251565e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,30,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,31,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,COMMON_HEADER_END,32,0.0,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,0,1.1102230246251565e-16,0.0
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,1,5.164920828781838e-05,0.01016364633459324
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,2,0.00012119606567151386,0.015569540490977416
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,3,0.0006870838113425259,0.03710388799218009
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,4,0.0006128583314102265,0.035482383265342345
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,5,0.0008327902437491597,0.042175528197000635
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,6,0.0009419388822697883,0.04582326365460717
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,7,0.0011915680408578488,0.0488195457178835
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,8,0.0010404103059191705,0.04613542667733997
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,9,0.0014707806018773306,0.05505751813958296
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,10,0.0014327456576740394,0.056192903545707905
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,11,0.0011757987335346831,0.04899946489694972
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,12,0.0011443832384516739,0.048608926873005595
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,13,0.001428270038946633,0.05351780920135501
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,14,0.0016130260514729544,0.056869071522793586
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,15,0.0017078678264971225,0.0584533778094605
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,16,0.002179909447235562,0.0660402944444571
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,17,0.0012075323792466452,0.049143517716446185
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,18,0.0007849435146987105,0.039623519015670045
FACT_SWAP,F01,AUX-RB-003,AUX-RB-004,R1_END,19,0.0006458618465141619,0.03594166957383239
